ShowCount,GeneralCount,GoodRateShow,GoodRateStyle,GeneralRateShow,Score2Count,AverageScore,PoorRateStyle,CommentCount,GoodRate,AfterCount,PoorRate,GeneralRate,ProductId,SkuId,GeneralRateStyle,Score5Count,Score4Count,PoorRateShow,GoodCount,PoorCount,Score1Count,Score3Count
209,17,97,147,2,1,5,1,1079,0.977,3,0.008,0.015,3628426,3628426,2,1024,29,1,1053,9,9,16
2207,547,96,144,3,119,5,2,20733,0.963,27,0.011,0.026,1007344,1007344,4,18440,1516,1,19956,230,230,428
5698,1300,97,145,2,279,5,2,59188,0.968,159,0.011,0.021,2235846,2235846,3,53743,3435,1,57178,710,710,1021
259,39,97,145,2,8,5,2,1629,0.967,17,0.01,0.023,4068654,4068654,3,1508,65,1,1573,17,17,31
9324,2491,96,144,3,542,5,2,94016,0.963,77,0.011,0.026,1175572,1175572,4,84708,5695,1,90403,1122,1122,1949
807,349,97,145,2,66,5,1,14346,0.968,16,0.008,0.024,1087862,1087862,4,12634,1243,1,13877,120,120,283
1348,523,96,144,3,87,5,2,20556,0.964,34,0.011,0.025,3022144,3022144,4,18224,1576,1,19800,233,233,436
3842,1550,96,144,3,340,5,2,56821,0.962,53,0.011,0.027,313978,313978,4,48915,5686,1,54601,670,670,1210
127,36,96,144,3,6,5,2,1345,0.963,7,0.011,0.026,10046777489,10046777489,4,1238,56,1,1294,15,15,30
10,0,99,149,0,0,5,1,106,0.991,3,0.009,0.0,11608428411,11608428411,0,103,2,1,105,1,1,0
104,12,98,146,1,2,5,2,1116,0.977,3,0.013,0.01,1758515524,1758515524,2,1056,33,1,1089,15,15,10
155,16,97,145,2,4,5,2,932,0.971,8,0.012,0.017,3684731,3684731,3,880,24,1,904,12,12,12
4721,599,95,143,3,181,5,3,23668,0.957,241,0.018,0.025,3628488,3628488,4,21848,787,2,22635,434,434,418
1785,1597,94,141,5,310,5,2,33943,0.94,14,0.013,0.047,612033,612033,7,27006,4887,1,31893,453,453,1287
360,56,95,143,3,17,5,3,1988,0.953,8,0.019,0.028,1572422130,1572422130,4,1828,65,2,1893,39,39,39
4721,1029,97,145,2,249,5,2,43260,0.965,140,0.012,0.023,1537325,1537325,3,39286,2392,1,41678,553,553,780
9,10,98,147,1,1,5,1,858,0.983,2,0.006,0.011,11715808874,11715808874,2,830,12,1,842,6,6,9
119,15,98,148,1,1,5,1,2224,0.987,4,0.007,0.006,1802766476,1802766476,1,2162,30,1,2192,17,17,14
152,35,96,144,4,7,5,0,927,0.96,3,0.003,0.037,3352660,3352660,6,849,40,0,889,3,3,28
1048,162,95,144,3,52,5,2,6476,0.959,23,0.016,0.025,2213664,2213664,4,5942,264,2,6206,108,108,110
39,6,97,145,3,2,5,1,211,0.968,1,0.004,0.028,10391113978,10391113978,4,193,11,0,204,1,1,4
6,0,100,150,0,0,5,0,40,1.0,0,0.0,0.0,11290392644,11290392644,0,40,0,0,40,0,0,0
